coluna,dtype,tipo_logico,qtd_valores_unicos,percentual_nulos
id_transacao,Int64,rastreio,30000,0.0
id_cartao,Int64,rastreio,9483,0.0
ts_transacao,datetime64[ns],rastreio,29805,0.0
target_fraude,Int64,target,2,0.0
hora_transacao,int32,feature,24,0.0
dia_semana,int32,feature,7,0.0
data_transacao,object,feature,30,0.0
fim_de_semana,int64,feature,2,0.0
tempo_vida_cartao_dias,int64,feature,1526,0.0
tempo_desde_ultima_transacao_min,float64,feature,20324,31.61
tempo_desde_ultima_transacao_horas,float64,feature,20324,31.61
uso_intervalo_curto,int64,feature,2,0.0
qtd_transacoes_dia,Int64,feature,3,0.0
qtd_transacoes_24h,Int64,feature,4,0.0
uso_intenso_24h,int64,feature,2,0.0
linha_repetida,int64,feature,2,0.0
dispositivo_repetido,int64,feature,2,0.0
qtd_linhas_distintas_dia,int64,feature,3,0.0
qtd_dispositivos_distintos_dia,int64,feature,3,0.0
idade_suspeita,int64,feature,2,0.0
feriado_bin,int64,feature,2,0.0
feriado_nao_mapeado,int64,feature,1,0.0
temp_faixa,category,feature,5,0.0
sentido_ida,int64,feature,2,0.0
clima_adverso,int64,feature,2,0.0
valor_transacao_faixa,category,feature,3,0.0
cartao_qtd_transacoes,Int64,feature,11,0.0
cartao_dias_ativos,int64,feature,10,0.0
cartao_media_transacoes_por_dia,Float64,feature,20,0.0
cartao_qtd_linhas_distintas,int64,feature,11,0.0
cartao_qtd_dispositivos_distintos,int64,feature,11,0.0
cartao_qtd_motoristas_distintos,int64,feature,11,0.0
cartao_valor_transacao_mean,float64,feature,93,0.0
cartao_valor_transacao_std,float64,feature,133,0.0
cartao_pct_integracao,Float64,feature,33,0.0
cartao_pct_feriado,float64,feature,17,0.0
cartao_pct_intervalo_curto,float64,feature,7,0.0
periodo_dia,category,feature,4,0.0
valor_vs_media_cartao,float64,feature,191,0.0
valor_zscore_cartao,float64,feature,571,0.0
valor_outlier_cartao,int64,feature,1,0.0
uso_acima_media_dia_cartao,int64,feature,2,0.0
